"Arctic Monkeys","Fluorescent Adolescent"
"Arctic Monkeys","Who The Fuck Are Arctic Monkeys?"
"You Me At Six","Back Again"
"A Boogie Wit da Hoodie","Drowning"
"benny blanco","Roses"
"King No-One","Alcatraz"
"The 1975","TOOTIMETOOTIMETOOTIME"
"Little Mix","Woman Like Me"
"Ariana Grande","7 rings"
"Ava Max","Sweet but Psycho"
"Ozuna","Baila Baila Baila"
"Jonas Blue","Perfect Strangers"
"Desiigner","Panda"
"Eminem","Lucky You"
"ROAM","Playing Fiction"
"Fall Out Boy","Thnks fr th Mmrs"
"Fall Out Boy","Irresistible"
"Dom Marcell","D.T.K."
"Lakeshore","Erased"
"Lakeshore","History"
"Citizen","Jet"
"Nirvana","Smells Like Teen Spirit"
"Nirvana","Come As You Are"
"Nirvana","Heart-Shaped Box"
"Backstreet Boys","No Place"
"Backstreet Boys","Passionate"
"State Champs","Dead and Gone"
"State Champs","Secrets"
"King No-One","Antichrist"
"King No-One","Two Islands"
"King No-One","Halo"
"Nirvana","Come As You Are"
"Nirvana","Lithium"
"You Me At Six","Pray For Me"
"Dean Lewis","Waves"
"Arctic Monkeys","I Bet You Look Good On The Dancefloor"
"The 1975","I Always Wanna Die Sometimes"
"The 1975","Girls"
"The 1975","I Couldn't Be More In Love"
"The 1975","Sex"
"State Champs","If I'm Lucky"
"State Champs","Elevated"
"Jade Bird","What Am I Here For"
"Jade Bird","Love Has All Been Done Before"
"The Warning","Crimson Queen"
"The Warning","Hunter"
"The Warning","Ugh"
"The Warning","Queen of the Murder Scene"
"The Warning","Red Hands Never Fade"
"The Warning","P.S.Y.C.H.O.T.I.C."
"The Warning","Sinister Smiles"
"The 1975","Give Yourself A Try"
"The 1975","Inside Your Mind"
"King No-One","Systematic"
"Billie Eilish","bury a friend"
"Billie Eilish","come out and play"
"NSG","Options"
"Sam Smith","Dancing With A Stranger"
"James Arthur","Rewrite The Stars"
"James Arthur","Say You Won't Let Go"
"Russ splash","Gun Lean"
"Logic","Keanu Reeves"
"Logic","Everyday"
"Rex Orange County","Best Friend"
"Tash Sultana","Cigarettes"
"Nirvana","Stay Away"
"Moose Blood","Knuckles"
"Rex Orange County","Loving Is Easy"
"Fumez The Engineer","Art Of War"
"Tweeko","The Coldest Link Up"
"Kacey Musgraves","Velvet Elvis"
"Kacey Musgraves","Happy & Sad"
"Kacey Musgraves","Butterflies"
"Kacey Musgraves","Rainbow"
"Arctic Monkeys","Temptation Greets You Like Your Naughty Friend"
"Bring Me The Horizon","medicine"
"Bring Me The Horizon","sugar honey ice & tea"
"Bring Me The Horizon","mother tongue"
"Bring Me The Horizon","i don't know what to say"
"Bring Me The Horizon","in the dark"
"Bring Me The Horizon","fresh bruises"
"Bring Me The Horizon","why you gotta kick me when i'm down?"
